Time (s) Run #7	Position (m) Run #7
0,0000	0,5752
0,0500	0,5734
0,1000	0,5684
0,1500	0,5597
0,2000	0,5481
0,2500	0,5336
0,3000	0,5166
0,3500	0,4980
0,4000	0,4780
0,4500	0,4577
0,5000	0,4375
0,5500	0,4180
0,6000	0,4006
0,6500	0,3868
0,7000	0,3726
0,7500	0,3625
0,8000	0,3559
0,8500	0,3533
0,9000	0,3542
0,9500	0,3590
1,0000	0,3676
1,0500	0,3803
1,1000	0,3944
1,1500	0,4086
1,2000	0,4273
1,2500	0,4470
1,3000	0,4673
1,3500	0,4874
1,4000	0,5069
1,4500	0,5246
1,5000	0,5405
1,5500	0,5537
1,6000	0,5639
1,6500	0,5709
1,7000	0,5745
1,7500	0,5743
1,8000	0,5703
1,8500	0,5630
1,9000	0,5524
1,9500	0,5387
2,0000	0,5227
2,0500	0,5047
2,1000	0,4853
2,1500	0,4649
2,2000	0,4446
2,2500	0,4249
2,3000	0,4066
2,3500	0,3913
2,4000	0,3778
2,4500	0,3660
2,5000	0,3584
2,5500	0,3543
2,6000	0,3539
2,6500	0,3574
2,7000	0,3651
2,7500	0,3760
2,8000	0,3894
2,8500	0,4029
2,9000	0,4204
2,9500	0,4400
3,0000	0,4601
3,0500	0,4802
3,1000	0,4998
3,1500	0,5183
3,2000	0,5348
3,2500	0,5490
3,3000	0,5603
3,3500	0,5685
3,4000	0,5731
3,4500	0,5742
3,5000	0,5718
3,5500	0,5655
3,6000	0,5561
3,6500	0,5437
3,7000	0,5284
3,7500	0,5111
3,8000	0,4921
3,8500	0,4722
3,9000	0,4518
3,9500	0,4320
4,0000	0,4132
4,0500	0,3966
4,1000	0,3825
4,1500	0,3702
4,2000	0,3610
4,2500	0,3556
4,3000	0,3539
4,3500	0,3559
4,4000	0,3618
4,4500	0,3725
4,5000	0,3848
4,5500	0,3973
4,6000	0,4141
4,6500	0,4329
4,7000	0,4529
4,7500	0,4730
4,8000	0,4929
4,8500	0,5117
4,9000	0,5290
4,9500	0,5440
5,0000	0,5563
5,0500	0,5655
5,1000	0,5717
5,1500	0,5740
5,2000	0,5728
5,2500	0,5679
5,3000	0,5595
5,3500	0,5483
5,4000	0,5341
5,4500	0,5174
5,5000	0,4990
5,5500	0,4794
5,6000	0,4593
5,6500	0,4391
5,7000	0,4199
5,7500	0,4024
5,8000	0,3890
5,8500	0,3745
5,9000	0,3643
5,9500	0,3577
6,0000	0,3545
6,0500	0,3553
6,1000	0,3598
6,1500	0,3690
6,2000	0,3803
6,2500	0,3943
6,3000	0,4079
6,3500	0,4262
6,4000	0,4458
6,4500	0,4659
6,5000	0,4859
6,5500	0,5052
6,6000	0,5229
6,6500	0,5386
6,7000	0,5520
6,7500	0,5624
6,8000	0,5695
6,8500	0,5733
6,9000	0,5732
6,9500	0,5697
7,0000	0,5626
7,0500	0,5524
7,1000	0,5392
7,1500	0,5234
7,2000	0,5057
7,2500	0,4865
7,3000	0,4665
7,3500	0,4463
7,4000	0,4268
7,4500	0,4085
7,5000	0,3933
7,5500	0,3799
7,6000	0,3681
7,6500	0,3601
7,7000	0,3557
7,7500	0,3551
7,8000	0,3585
7,8500	0,3660
7,9000	0,3764
7,9500	0,3893
8,0000	0,4026
8,0500	0,4199
8,1000	0,4390
8,1500	0,4589
8,2000	0,4790
8,2500	0,4984
8,3000	0,5167
8,3500	0,5333
8,4000	0,5476
8,4500	0,5589
8,5000	0,5673
8,5500	0,5722
8,6000	0,5735
8,6500	0,5712
8,7000	0,5653
8,7500	0,5563
8,8000	0,5440
8,8500	0,5291
8,9000	0,5121
8,9500	0,4933
9,0000	0,4737
9,0500	0,4536
9,1000	0,4337
9,1500	0,4149
9,2000	0,3983
9,2500	0,3858
9,3000	0,3721
9,3500	0,3629
9,4000	0,3573
9,4500	0,3553
9,5000	0,3571
9,5500	0,3631
9,6000	0,3728
9,6500	0,3848
9,7000	0,3971
9,7500	0,4136
9,8000	0,4321
9,8500	0,4518
9,9000	0,4718
9,9500	0,4916
10,0000	0,5102
