t (s)	x(t) (m)
0,000	0,13
0,050	0,14
0,100	0,16
0,150	0,19
0,200	0,23
0,250	0,28
0,300	0,33
0,350	0,38
0,400	0,43
0,450	0,48
0,500	0,53
0,550	0,57
0,600	0,61
0,650	0,64
0,700	0,67
0,750	0,69
0,800	0,69
0,850	0,69
0,900	0,68
0,950	0,66
1,000	0,63
1,050	0,60
1,100	0,56
1,150	0,51
1,200	0,46
1,250	0,41
1,300	0,36
1,350	0,31
1,400	0,26
1,450	0,21
1,500	0,18
1,550	0,15
1,600	0,13
1,650	0,12
1,700	0,12
1,750	0,13
1,800	0,15
1,850	0,17
1,900	0,20
1,950	0,25
2,000	0,29
2,050	0,35
2,100	0,40
2,150	0,45
2,200	0,50
2,250	0,54
2,300	0,59
2,350	0,62
2,400	0,65
2,450	0,67
2,500	0,69
2,550	0,69
2,600	0,69
2,650	0,67
2,700	0,65
2,750	0,62
2,800	0,58
2,850	0,54
2,900	0,49
2,950	0,44
3,000	0,39
3,050	0,34
3,100	0,29
3,150	0,24
3,200	0,20
3,250	0,17
3,300	0,15
3,350	0,13
3,400	0,12
3,450	0,13
3,500	0,14
3,550	0,16
3,600	0,18
3,650	0,22
3,700	0,26
3,750	0,31
3,800	0,36
3,850	0,41
3,900	0,46
3,950	0,51
4,000	0,56
4,050	0,60
4,100	0,63
4,150	0,66
4,200	0,68
4,250	0,69
4,300	0,69
4,350	0,68
4,400	0,66
4,450	0,64
4,500	0,61
4,550	0,57
4,600	0,53
4,650	0,48
4,700	0,43
4,750	0,38
4,800	0,32
4,850	0,27
4,900	0,23
4,950	0,19
5,000	0,16
5,050	0,14
5,100	0,13
5,150	0,13
5,200	0,13
5,250	0,14
5,300	0,17
5,350	0,20
5,400	0,23
5,450	0,28
5,500	0,33
5,550	0,38
5,600	0,43
5,650	0,48
5,700	0,53
5,750	0,57
5,800	0,61
5,850	0,64
5,900	0,67
5,950	0,68
6,000	0,69
6,050	0,69
6,100	0,68
6,150	0,66
6,200	0,63
6,250	0,59
6,300	0,55
6,350	0,51
6,400	0,46
6,450	0,41
6,500	0,36
6,550	0,31
6,600	0,26
6,650	0,22
6,700	0,18
6,750	0,16
6,800	0,14
6,850	0,13
6,900	0,13
6,950	0,14
7,000	0,15
7,050	0,18
7,100	0,21
7,150	0,25
7,200	0,30
7,250	0,35
7,300	0,40
7,350	0,45
7,400	0,50
7,450	0,55
7,500	0,59
7,550	0,62
7,600	0,65
7,650	0,67
7,700	0,68
7,750	0,69
7,800	0,68
7,850	0,67
7,900	0,65
7,950	0,62
8,000	0,58
8,050	0,54
8,100	0,49
8,150	0,44
8,200	0,39
8,250	0,34
8,300	0,29
8,350	0,24
8,400	0,20
8,450	0,17
8,500	0,15
8,550	0,14
8,600	0,13
8,650	0,13
8,700	0,14
8,750	0,16
8,800	0,19
8,850	0,23
8,900	0,27
8,950	0,32
9,000	0,37
9,050	0,42
9,100	0,47
9,150	0,52
9,200	0,56
9,250	0,60
9,300	0,63
9,350	0,66
9,400	0,67
9,450	0,68
9,500	0,69
9,550	0,68
9,600	0,66
9,650	0,63
9,700	0,60
9,750	0,56
9,800	0,52
9,850	0,47
9,900	0,42
9,950	0,37
10,000	0,32
10,050	0,27
10,100	0,23
10,150	0,19
10,200	0,16
10,250	0,14
10,300	0,13
10,350	0,13
10,400	0,14
10,450	0,15
10,500	0,17
10,550	0,20
10,600	0,24
10,650	0,29
10,700	0,34
10,750	0,39
10,800	0,44
10,850	0,49
10,900	0,53
10,950	0,57
11,000	0,61
11,050	0,64
11,100	0,66
11,150	0,68
11,200	0,68
11,250	0,68
11,300	0,67
11,350	0,65
11,400	0,62
11,450	0,59
11,500	0,55
11,550	0,50
11,600	0,45
11,650	0,40
11,700	0,35
11,750	0,30
11,800	0,26
11,850	0,22
11,900	0,18
11,950	0,16
12,000	0,14
12,050	0,13
12,100	0,13
12,150	0,14
12,200	0,16
12,250	0,18
12,300	0,22
12,350	0,26
12,400	0,31
12,450	0,36
12,500	0,40
12,550	0,45
12,600	0,50
12,650	0,55
12,700	0,59
12,750	0,62
12,800	0,65
12,850	0,67
12,900	0,68
12,950	0,68
13,000	0,68
13,050	0,66
13,100	0,64
13,150	0,61
13,200	0,57
13,250	0,53
13,300	0,48
13,350	0,43
13,400	0,39
13,450	0,33
13,500	0,29
13,550	0,24
13,600	0,20
13,650	0,17
13,700	0,15
13,750	0,14
13,800	0,13
13,850	0,14
13,900	0,15
13,950	0,17
14,000	0,20
14,050	0,23
14,100	0,28
14,150	0,32
14,200	0,38
14,250	0,42
14,300	0,47
14,350	0,52
14,400	0,56
14,450	0,60
14,500	0,63
14,550	0,66
14,600	0,67
14,650	0,68
14,700	0,68
14,750	0,67
14,800	0,65
14,850	0,63
14,900	0,59
14,950	0,56
15,000	0,51
15,050	0,46
15,100	0,41
15,150	0,37
15,200	0,32
15,250	0,27
15,300	0,23
15,350	0,19
15,400	0,17
15,450	0,15
15,500	0,14
15,550	0,14
15,600	0,14
15,650	0,16
15,700	0,18
15,750	0,21
15,800	0,25
15,850	0,30
15,900	0,35
15,950	0,39
16,000	0,44
16,050	0,49
16,100	0,54
16,150	0,58
16,200	0,61
16,250	0,64
16,300	0,66
16,350	0,67
16,400	0,68
16,450	0,67
16,500	0,66
16,550	0,64
16,600	0,61
16,650	0,58
16,700	0,54
16,750	0,49
16,800	0,45
16,850	0,40
16,900	0,35
16,950	0,30
17,000	0,25
17,050	0,21
17,100	0,18
17,150	0,16
17,200	0,14
17,250	0,14
17,300	0,14
17,350	0,15
17,400	0,17
17,450	0,19
17,500	0,23
17,550	0,27
17,600	0,31
17,650	0,36
17,700	0,41
17,750	0,46
17,800	0,51
17,850	0,55
17,900	0,59
17,950	0,62
18,000	0,65
18,050	0,67
18,100	0,68
18,150	0,68
18,200	0,67
18,250	0,65
18,300	0,63
18,350	0,60
18,400	0,56
18,450	0,52
18,500	0,47
18,550	0,43
18,600	0,38
18,650	0,33
18,700	0,28
18,750	0,24
18,800	0,20
18,850	0,17
18,900	0,15
18,950	0,14
19,000	0,14
19,050	0,14
19,100	0,16
19,150	0,18
19,200	0,21
19,250	0,24
19,300	0,29
19,350	0,33
19,400	0,38
19,450	0,43
19,500	0,48
19,550	0,52
19,600	0,57
19,650	0,60
19,700	0,63
19,750	0,65
19,800	0,67
19,850	0,68
19,900	0,67
19,950	0,66
20,000	0,64
20,050	0,62
20,100	0,59
20,150	0,55
20,200	0,50
20,250	0,46
20,300	0,41
20,350	0,36
20,400	0,31
20,450	0,27
20,500	0,22
20,550	0,19
20,600	0,17
20,650	0,15
20,700	0,14
20,750	0,14
20,800	0,15
20,850	0,16
20,900	0,19
20,950	0,22
21,000	0,26
21,050	0,31
21,100	0,35
21,150	0,40
21,200	0,45
21,250	0,50
21,300	0,54
21,350	0,58
21,400	0,61
21,450	0,64
21,500	0,66
21,550	0,67
21,600	0,67
21,650	0,67
21,700	0,65
21,750	0,63
21,800	0,60
21,850	0,57
21,900	0,53
21,950	0,48
22,000	0,44
22,050	0,39
22,100	0,34
22,150	0,29
22,200	0,25
22,250	0,21
22,300	0,18
22,350	0,16
22,400	0,15
22,450	0,14
22,500	0,14
22,550	0,15
22,600	0,17
22,650	0,20
22,700	0,24
22,750	0,28
22,800	0,32
22,850	0,37
22,900	0,42
22,950	0,47
23,000	0,51
23,050	0,56
23,100	0,59
23,150	0,62
23,200	0,65
23,250	0,66
23,300	0,67
23,350	0,67
23,400	0,66
23,450	0,65
23,500	0,62
23,550	0,59
23,600	0,55
23,650	0,51
23,700	0,47
23,750	0,42
23,800	0,37
23,850	0,32
23,900	0,28
23,950	0,23
24,000	0,20
24,050	0,17
24,100	0,16
24,150	0,15
24,200	0,14
24,250	0,15
24,300	0,16
24,350	0,19
24,400	0,22
24,450	0,25
24,500	0,30
24,550	0,35
24,600	0,39
24,650	0,44
24,700	0,49
24,750	0,53
24,800	0,57
24,850	0,60
24,900	0,63
24,950	0,65
25,000	0,67
25,050	0,67
25,100	0,67
25,150	0,66
25,200	0,64
25,250	0,61
25,300	0,58
25,350	0,54
25,400	0,49
25,450	0,45
25,500	0,40
25,550	0,35
25,600	0,30
25,650	0,26
25,700	0,22
25,750	0,19
25,800	0,17
25,850	0,15
25,900	0,14
25,950	0,15
26,000	0,15
26,050	0,17
26,100	0,20
26,150	0,23
26,200	0,27
26,250	0,32
26,300	0,36
26,350	0,41
26,400	0,46
26,450	0,50
26,500	0,55
26,550	0,58
26,600	0,62
26,650	0,64
26,700	0,66
26,750	0,67
26,800	0,67
26,850	0,66
26,900	0,65
26,950	0,62
27,000	0,60
27,050	0,56
27,100	0,52
27,150	0,47
27,200	0,43
27,250	0,38
