Time (s) Run #1	Position (m) Run #1
0,000	0,25954
0,050	0,23707
0,100	0,22030
0,150	0,20904
0,200	0,20398
0,250	0,20494
0,300	0,21226
0,350	0,22542
0,400	0,24407
0,450	0,26805
0,500	0,29633
0,550	0,32784
0,600	0,36359
0,650	0,39687
0,700	0,43122
0,750	0,46475
0,800	0,49623
0,850	0,52593
0,900	0,54997
0,950	0,56888
1,000	0,58231
1,050	0,59008
1,100	0,59166
1,150	0,58740
1,200	0,57691
1,250	0,56089
1,300	0,53991
1,350	0,51260
1,400	0,48251
1,450	0,45016
1,500	0,41582
1,550	0,38333
1,600	0,34743
1,650	0,31393
1,700	0,28389
1,750	0,25746
1,800	0,23586
1,850	0,21961
1,900	0,20903
1,950	0,20466
2,000	0,20648
2,050	0,21414
2,100	0,22799
2,150	0,24733
2,200	0,27148
2,250	0,30010
2,300	0,33196
2,350	0,36772
2,400	0,40065
2,450	0,43483
2,500	0,46821
2,550	0,49900
2,600	0,52783
2,650	0,55154
2,700	0,56976
2,750	0,58267
2,800	0,58976
2,850	0,59066
2,900	0,58552
2,950	0,57469
3,000	0,55816
3,050	0,53647
3,100	0,50881
3,150	0,47873
3,200	0,44602
3,250	0,41168
3,300	0,37936
3,350	0,34362
3,400	0,31065
3,450	0,28112
3,500	0,25539
3,550	0,23430
3,600	0,21891
3,650	0,20902
3,700	0,20534
3,750	0,20785
3,800	0,21619
3,850	0,23056
3,900	0,25042
3,950	0,27508
4,000	0,30404
4,050	0,33608
4,100	0,37168
4,150	0,40408
4,200	0,43845
4,250	0,47131
4,300	0,50180
4,350	0,52885
4,400	0,55311
4,450	0,57064
4,500	0,58288
4,550	0,58909
4,600	0,58947
4,650	0,58383
4,700	0,57213
4,750	0,55507
4,800	0,53304
4,850	0,50502
4,900	0,47476
4,950	0,44206
5,000	0,40771
5,050	0,37557
5,100	0,33982
5,150	0,30754
5,200	0,27853
5,250	0,25331
5,300	0,23309
5,350	0,21821
5,400	0,20919
5,450	0,20619
5,500	0,20939
5,550	0,21842
5,600	0,23330
5,650	0,25367
5,700	0,27885
5,750	0,30799
5,800	0,34005
5,850	0,37457
5,900	0,40803
5,950	0,44224
6,000	0,47476
6,050	0,50451
6,100	0,53287
6,150	0,55467
6,200	0,57170
6,250	0,58307
6,300	0,58860
6,350	0,58829
6,400	0,58195
6,450	0,56973
6,500	0,55216
6,550	0,52961
6,600	0,50106
6,650	0,47080
6,700	0,43791
6,750	0,40410
6,800	0,37159
6,850	0,33619
6,900	0,30443
6,950	0,27594
7,000	0,25140
7,050	0,23187
7,100	0,21768
7,150	0,20952
7,200	0,20721
7,250	0,21092
7,300	0,22065
7,350	0,23621
7,400	0,25710
7,450	0,28263
7,500	0,31211
7,550	0,34414
7,600	0,37993
7,650	0,41198
7,700	0,44603
7,750	0,47803
7,800	0,50745
7,850	0,53495
7,900	0,55624
7,950	0,57258
8,000	0,58327
8,050	0,58794
8,100	0,58694
8,150	0,57990
8,200	0,56717
8,250	0,54912
8,300	0,52476
8,350	0,49710
8,400	0,46667
8,450	0,43376
8,500	0,40070
8,550	0,36621
8,600	0,33256
8,650	0,30132
8,700	0,27334
8,750	0,24950
8,800	0,23066
8,850	0,21733
8,900	0,20986
8,950	0,20824
9,000	0,21281
9,050	0,22322
9,100	0,23930
9,150	0,26053
9,200	0,28658
9,250	0,31605
9,300	0,34861
9,350	0,38422
9,400	0,41612
9,450	0,44964
9,500	0,48130
9,550	0,51040
9,600	0,53703
9,650	0,55782
9,700	0,57329
9,750	0,58330
9,800	0,58728
9,850	0,58541
9,900	0,57786
9,950	0,56443
10,000	0,54587
10,050	0,52062
10,100	0,49314
10,150	0,46253
10,200	0,42959
10,250	0,39780
10,300	0,36206
10,350	0,32911
10,400	0,29838
10,450	0,27092
10,500	0,24777
10,550	0,22962
10,600	0,21698
10,650	0,21019
10,700	0,20943
10,750	0,21452
10,800	0,22561
10,850	0,24238
10,900	0,26413
10,950	0,29035
11,000	0,32017
11,050	0,35308
11,100	0,38835
11,150	0,42007
11,200	0,45326
11,250	0,48458
11,300	0,51298
11,350	0,53929
11,400	0,55922
11,450	0,57383
11,500	0,58314
11,550	0,58661
11,600	0,58406
11,650	0,57564
11,700	0,56170
11,750	0,54244
11,800	0,51683
11,850	0,48919
11,900	0,45822
11,950	0,42528
12,000	0,39348
12,050	0,35809
12,100	0,32548
12,150	0,29527
12,200	0,26850
12,250	0,24604
12,300	0,22857
12,350	0,21662
12,400	0,21053
12,450	0,21045
12,500	0,21640
12,550	0,22819
12,600	0,24547
12,650	0,26773
12,700	0,29429
12,750	0,32447
12,800	0,35685
12,850	0,39229
12,900	0,42403
12,950	0,45687
13,000	0,48769
13,050	0,51541
13,100	0,54102
13,150	0,56044
13,200	0,57455
13,250	0,58299
13,300	0,58578
13,350	0,58253
13,400	0,57343
13,450	0,55879
13,500	0,53900
13,550	0,51305
13,600	0,48505
13,650	0,45409
13,700	0,42096
13,750	0,38969
13,800	0,35447
13,850	0,32185
13,900	0,29215
13,950	0,26608
14,000	0,24430
14,050	0,22753
14,100	0,21644
14,150	0,21104
14,200	0,21165
14,250	0,21828
14,300	0,23058
14,350	0,24856
14,400	0,27116
14,450	0,29824
14,500	0,32858
14,550	0,36115
14,600	0,39642
14,650	0,42799
14,700	0,46049
14,750	0,49080
14,800	0,51818
14,850	0,54311
14,900	0,56166
14,950	0,57509
15,000	0,58268
15,050	0,58460
15,100	0,58066
15,150	0,57103
15,200	0,55588
15,250	0,53557
15,300	0,50927
15,350	0,48110
15,400	0,44978
15,450	0,41683
15,500	0,38551
15,550	0,35225
15,600	0,31857
15,650	0,28921
15,700	0,26383
15,750	0,24257
15,800	0,22666
15,850	0,21626
15,900	0,21172
15,950	0,21302
16,000	0,22034
16,050	0,23333
16,100	0,25164
16,150	0,27493
16,200	0,30236
16,250	0,33267
16,300	0,36723
16,350	0,39897
16,400	0,43177
16,450	0,46394
16,500	0,49388
16,550	0,52166
16,600	0,54485
16,650	0,56272
16,700	0,57546
16,750	0,58236
16,800	0,58359
16,850	0,57896
16,900	0,56864
16,950	0,55300
17,000	0,53106
17,050	0,50567
17,100	0,47679
17,150	0,44564
17,200	0,41269
17,250	0,38139
17,300	0,34705
17,350	0,31511
17,400	0,28645
17,450	0,26158
17,500	0,24101
17,550	0,22596
17,600	0,21625
17,650	0,21239
17,700	0,21456
17,750	0,22256
17,800	0,23607
17,850	0,25507
17,900	0,27870
17,950	0,30647
18,000	0,33696
18,050	0,37153
18,100	0,40274
18,150	0,43573
18,200	0,46756
18,250	0,49701
18,300	0,52338
18,350	0,54676
18,400	0,56395
18,450	0,57583
18,500	0,58204
18,550	0,58258
18,600	0,57726
18,650	0,56625
18,700	0,55010
18,750	0,52728
