Time (s) Run #6	Position (m) Run #6
0,0000	0,1718
0,0250	0,1747
0,0500	0,1776
0,0750	0,1805
0,1000	0,1830
0,1250	0,1850
0,1500	0,1866
0,1750	0,1873
0,2000	0,1875
0,2250	0,1868
0,2500	0,1855
0,2750	0,1836
0,3000	0,1812
0,3250	0,1783
0,3500	0,1753
0,3750	0,1724
0,4000	0,1698
0,4250	0,1674
0,4500	0,1655
0,4750	0,1643
0,5000	0,1637
0,5250	0,1639
0,5500	0,1649
0,5750	0,1665
0,6000	0,1685
0,6250	0,1711
0,6500	0,1740
0,6750	0,1769
0,7000	0,1797
0,7250	0,1823
0,7500	0,1845
0,7750	0,1863
0,8000	0,1871
0,8250	0,1875
0,8500	0,1870
0,8750	0,1858
0,9000	0,1839
0,9250	0,1817
0,9500	0,1789
0,9750	0,1760
1,0000	0,1731
1,0250	0,1703
1,0500	0,1677
1,0750	0,1658
1,1000	0,1644
1,1250	0,1637
1,1500	0,1637
1,1750	0,1644
1,2000	0,1659
1,2250	0,1680
1,2500	0,1704
1,2750	0,1733
1,3000	0,1762
1,3250	0,1792
1,3500	0,1818
1,3750	0,1842
1,4000	0,1859
1,4250	0,1871
1,4500	0,1877
1,4750	0,1873
1,5000	0,1863
1,5250	0,1846
1,5500	0,1824
1,5750	0,1798
1,6000	0,1769
1,6250	0,1740
1,6500	0,1710
1,6750	0,1684
1,7000	0,1664
1,7250	0,1648
1,7500	0,1637
1,7750	0,1636
1,8000	0,1641
1,8250	0,1654
1,8500	0,1671
1,8750	0,1697
1,9000	0,1723
1,9250	0,1752
1,9500	0,1781
1,9750	0,1809
2,0000	0,1835
2,0250	0,1854
2,0500	0,1868
2,0750	0,1875
2,1000	0,1873
2,1250	0,1865
2,1500	0,1851
2,1750	0,1831
2,2000	0,1807
2,2250	0,1777
2,2500	0,1748
2,2750	0,1719
2,3000	0,1693
2,3250	0,1670
2,3500	0,1653
2,3750	0,1641
2,4000	0,1637
2,4250	0,1641
2,4500	0,1651
2,4750	0,1668
2,5000	0,1690
2,5250	0,1716
2,5500	0,1745
2,5750	0,1774
2,6000	0,1802
2,6250	0,1828
2,6500	0,1849
2,6750	0,1863
2,7000	0,1871
2,7250	0,1873
2,7500	0,1866
2,7750	0,1853
2,8000	0,1836
2,8250	0,1812
2,8500	0,1782
2,8750	0,1755
2,9000	0,1726
2,9250	0,1698
2,9500	0,1674
2,9750	0,1657
3,0000	0,1643
3,0250	0,1637
3,0500	0,1639
3,0750	0,1647
3,1000	0,1663
3,1250	0,1685
3,1500	0,1709
3,1750	0,1738
3,2000	0,1768
3,2250	0,1797
3,2500	0,1823
3,2750	0,1843
3,3000	0,1861
3,3250	0,1871
