	641.9.tif
	HLine
0	52
1	54
2	52
3	54
4	53
5	54
6	53
7	53
8	53
9	53
10	52
11	53
12	54
13	55
14	55
15	53
16	53
17	53
18	53
19	55
20	56
21	55
22	53
23	54
24	54
25	54
26	53
27	54
28	56
29	55
30	53
31	54
32	53
33	53
34	53
35	53
36	53
37	54
38	55
39	54
40	55
41	54
42	53
43	55
44	55
45	54
46	52
47	54
48	54
49	53
50	55
51	55
52	53
53	55
54	53
55	54
56	55
57	54
58	52
59	54
60	55
61	55
62	56
63	54
64	53
65	54
66	56
67	55
68	54
69	55
70	55
71	55
72	55
73	54
74	54
75	55
76	56
77	55
78	54
79	55
80	55
81	55
82	54
83	55
84	56
85	54
86	52
87	53
88	54
89	54
90	53
91	53
92	52
93	55
94	56
95	55
96	53
97	54
98	53
99	53
100	55
101	55
102	54
103	55
104	55
105	56
106	55
107	53
108	53
109	53
110	54
111	54
112	54
113	55
114	55
115	55
116	56
117	55
118	55
119	55
120	55
121	55
122	54
123	54
124	52
125	54
126	56
127	56
128	54
129	55
130	55
131	55
132	55
133	55
134	55
135	54
136	53
137	54
138	53
139	54
140	53
141	55
142	54
143	55
144	53
145	55
146	54
147	53
148	55
149	54
150	53
151	54
152	55
153	55
154	53
155	56
156	56
157	55
158	53
159	55
160	56
161	55
162	54
163	56
164	56
165	55
166	56
167	55
168	53
169	54
170	54
171	56
172	57
173	56
174	54
175	54
176	55
177	56
178	55
179	55
180	54
181	55
182	52
183	54
184	53
185	56
186	55
187	56
188	58
189	57
190	56
191	55
192	56
193	56
194	55
195	56
196	55
197	54
198	54
199	55
200	55
201	56
202	53
203	54
204	54
205	55
206	55
207	55
208	54
209	54
210	54
211	54
212	52
213	54
214	54
215	54
216	53
217	54
218	54
219	54
220	54
221	54
222	54
223	54
224	54
225	55
226	55
227	56
228	57
229	55
230	54
231	56
232	54
233	53
234	54
235	56
236	54
237	55
238	52
239	54
240	53
241	54
242	53
243	55
244	53
245	54
246	54
247	55
248	56
249	55
250	55
251	56
252	54
253	55
254	54
255	56
256	55
257	55
258	56
259	55
260	54
261	55
262	54
263	55
264	55
265	56
266	54
267	55
268	54
269	55
270	55
271	55
272	55
273	55
274	54
275	55
276	56
277	55
278	55
279	57
280	57
281	57
282	58
283	56
284	55
285	56
286	57
287	55
288	54
289	56
290	54
291	56
292	55
293	55
294	55
295	56
296	55
297	56
298	56
299	57
300	57
301	56
302	55
303	56
304	55
305	55
306	55
307	55
308	55
309	56
310	55
311	55
312	55
313	56
314	56
315	56
316	54
317	55
318	54
319	54
320	54
321	54
322	54
323	55
324	56
325	56
326	54
327	56
328	55
329	55
330	55
331	56
332	55
333	56
334	55
335	56
336	55
337	56
338	58
339	57
340	54
341	55
342	56
343	56
344	57
345	58
346	58
347	55
348	54
349	56
350	56
351	57
352	56
353	56
354	55
355	55
356	55
357	55
358	54
359	55
360	55
361	55
362	56
363	56
364	56
365	57
366	55
367	57
368	56
369	57
370	56
371	56
372	56
373	57
374	57
375	56
376	55
377	55
378	55
379	56
380	55
381	56
382	55
383	55
384	58
385	57
386	56
387	56
388	56
389	57
390	57
391	57
392	55
393	56
394	56
395	56
396	57
397	57
398	55
399	55
400	53
401	54
402	53
403	54
404	54
405	57
406	56
407	56
408	55
409	54
410	54
411	55
412	56
413	56
414	57
415	56
416	54
417	56
418	58
419	58
420	58
421	56
422	54
423	56
424	55
425	56
426	56
427	57
428	57
429	55
430	55
431	55
432	56
433	56
434	57
435	57
436	57
437	55
438	55
439	56
440	55
441	55
442	56
443	56
444	54
445	57
446	58
447	58
448	58
449	57
450	57
451	57
452	55
453	57
454	57
455	57
456	57
457	57
458	56
459	58
460	57
461	58
462	57
463	58
464	58
465	57
466	56
467	56
468	55
469	57
470	58
471	57
472	58
473	59
474	57
475	56
476	55
477	58
478	56
479	56
480	56
481	56
482	57
483	56
484	56
485	57
486	58
487	58
488	57
489	56
490	55
491	56
492	56
493	57
494	57
495	57
496	58
497	58
498	57
499	56
500	55
501	56
502	58
503	58
504	58
505	55
506	56
507	58
508	58
509	58
510	55
511	57
512	56
513	57
514	57
515	56
516	54
517	57
518	58
519	58
520	58
521	58
522	56
523	58
524	59
525	57
526	57
527	57
528	57
529	58
530	58
531	57
532	56
533	57
534	58
535	57
536	56
537	57
538	57
539	57
540	58
541	59
542	58
543	59
544	60
545	59
546	57
547	59
548	60
549	59
550	59
551	61
552	61
553	61
554	60
555	60
556	60
557	59
558	59
559	60
560	60
561	61
562	61
563	61
564	61
565	62
566	62
567	61
568	61
569	61
570	61
571	61
572	62
573	62
574	62
575	63
576	63
577	62
578	63
579	62
580	63
581	63
582	61
583	62
584	62
585	62
586	63
587	62
588	62
589	63
590	64
591	62
592	61
593	62
594	63
595	62
596	61
597	61
598	62
599	62
600	60
601	62
602	62
603	62
604	61
605	61
606	62
607	61
608	61
609	61
610	61
611	61
612	61
613	62
614	61
615	62
616	61
617	62
618	63
619	63
620	63
621	62
622	62
623	61
624	61
625	62
626	63
627	63
628	63
629	63
630	62
631	63
632	63
633	63
634	63
635	62
636	64
637	65
638	65
639	64
640	65
641	64
642	62
643	65
644	64
645	64
646	64
647	65
648	64
649	65
650	65
651	64
652	65
653	65
654	63
655	65
656	64
657	64
658	64
659	63
660	65
661	64
662	64
663	65
664	64
665	65
666	63
667	63
668	64
669	64
670	64
671	64
672	63
673	64
674	64
675	64
676	62
677	62
678	63
679	63
680	65
681	64
682	62
683	63
684	63
685	62
686	63
687	62
688	62
689	63
690	61
691	62
692	62
693	62
694	61
695	60
696	60
697	61
698	60
699	59
700	61
701	62
702	62
703	62
704	64
705	63
706	62
707	63
708	63
709	62
710	62
711	63
712	64
713	65
714	64
715	67
716	67
717	67
718	67
719	69
720	69
721	70
722	71
723	72
724	72
725	73
726	74
727	75
728	75
729	76
730	78
731	78
732	79
733	81
734	82
735	81
736	82
737	83
738	85
739	85
740	86
741	86
742	86
743	88
744	88
745	89
746	89
747	90
748	87
749	87
750	90
751	91
752	92
753	94
754	95
755	96
756	96
757	97
758	98
759	99
760	102
761	103
762	105
763	105
764	107
765	108
766	109
767	109
768	111
769	112
770	112
771	115
772	116
773	117
774	117
775	118
776	118
777	118
778	121
779	121
780	121
781	120
782	124
783	126
784	127
785	126
786	128
787	129
788	129
789	129
790	129
791	129
792	129
793	132
794	131
795	129
796	132
797	133
798	132
799	131
800	130
801	129
802	130
803	130
804	133
805	134
806	132
807	130
808	133
809	136
810	135
811	133
812	134
813	134
814	134
815	133
816	133
817	131
818	132
819	133
820	133
821	132
822	130
823	127
824	130
825	130
826	130
827	129
828	127
829	127
830	128
831	128
832	126
833	125
834	125
835	123
836	123
837	122
838	121
839	119
840	120
841	119
842	118
843	117
844	116
845	116
846	116
847	115
848	113
849	110
850	111
851	109
852	108
853	105
854	104
855	103
856	103
857	102
858	103
859	101
860	99
861	98
862	95
863	93
864	91
865	92
866	89
867	89
868	88
869	89
870	91
871	89
872	88
873	88
874	90
875	88
876	86
877	86
878	87
879	85
880	83
881	82
882	81
883	81
884	82
885	81
886	79
887	78
888	76
889	76
890	75
891	74
892	72
893	72
894	73
895	72
896	70
897	69
898	68
899	68
900	67
901	67
902	67
903	66
904	63
905	64
906	62
907	62
908	62
909	62
910	61
911	61
912	60
913	61
914	62
915	60
916	60
917	61
918	62
919	61
920	62
921	60
922	61
923	61
924	61
925	61
926	61
927	61
928	60
929	61
930	60
931	61
932	62
933	63
934	64
935	64
936	64
937	64
938	63
939	64
940	65
941	65
942	66
943	64
944	65
945	66
946	64
947	65
948	65
949	66
950	64
951	64
952	65
953	67
954	65
955	66
956	66
957	66
958	65
959	66
960	66
961	66
962	67
963	66
964	66
965	66
966	67
967	67
968	66
969	66
970	64
971	64
972	66
973	66
974	65
975	65
976	66
977	65
978	64
979	65
980	64
981	65
982	64
983	64
984	64
985	64
986	64
987	64
988	64
989	63
990	63
991	63
992	63
993	63
994	62
995	62
996	60
997	61
998	59
999	60
1000	59
1001	60
1002	59
1003	60
1004	58
1005	60
1006	60
1007	60
1008	59
1009	58
1010	57
1011	58
1012	58
1013	58
1014	56
1015	58
1016	56
1017	59
1018	59
1019	58
1020	57
1021	58
1022	58
1023	57
1024	54
1025	56
1026	58
1027	58
1028	57
1029	57
1030	57
1031	58
1032	57
1033	58
1034	58
1035	57
1036	59
1037	58
1038	57
1039	56
1040	56
1041	57
1042	57
1043	58
1044	58
1045	58
1046	56
1047	58
1048	58
1049	57
1050	58
1051	57
1052	54
1053	57
1054	56
1055	58
1056	59
1057	59
1058	58
1059	58
1060	56
1061	57
1062	57
1063	57
1064	56
1065	59
1066	57
1067	58
1068	57
1069	58
1070	57
1071	58
1072	58
1073	57
1074	56
1075	57
1076	56
1077	55
1078	55
1079	56
1080	57
1081	58
1082	57
1083	56
1084	56
1085	57
1086	57
1087	58
1088	57
1089	58
1090	56
1091	56
1092	56
1093	56
1094	55
1095	56
1096	56
1097	56
1098	55
1099	56
1100	57
1101	57
1102	56
1103	56
1104	57
1105	58
1106	58
1107	57
1108	58
1109	58
1110	57
1111	57
1112	54
1113	56
1114	54
1115	56
1116	55
1117	57
1118	57
1119	57
1120	58
1121	58
1122	58
1123	58
1124	56
1125	57
1126	57
1127	57
1128	56
1129	56
1130	56
1131	56
1132	56
1133	57
1134	56
1135	58
1136	56
1137	56
1138	57
1139	58
1140	56
1141	56
1142	57
1143	56
1144	56
1145	57
1146	57
1147	58
1148	56
1149	56
1150	56
1151	56
1152	56
1153	57
1154	57
1155	56
1156	55
1157	56
1158	55
1159	56
1160	55
1161	56
1162	56
1163	56
1164	54
1165	54
1166	54
1167	55
1168	55
1169	57
1170	56
1171	57
1172	54
1173	56
1174	56
1175	56
1176	55
1177	54
1178	55
1179	55
1180	54
1181	56
1182	56
1183	57
1184	58
1185	55
1186	56
1187	57
1188	54
1189	57
1190	56
1191	55
1192	55
1193	54
1194	53
1195	54
1196	55
1197	55
1198	54
1199	55
1200	55
1201	56
1202	54
1203	54
1204	55
1205	55
1206	53
1207	56
1208	55
1209	55
1210	52
1211	55
1212	55
1213	56
1214	58
1215	56
1216	54
1217	55
1218	55
1219	56
1220	56
1221	56
1222	56
1223	57
1224	53
1225	56
1226	57
1227	56
1228	55
1229	55
1230	54
1231	55
1232	54
1233	55
1234	52
1235	55
1236	56
1237	55
1238	54
1239	55
1240	56
1241	56
1242	56
1243	57
1244	55
1245	55
1246	56
1247	54
1248	54
1249	56
1250	56
1251	56
1252	54
1253	55
1254	53
1255	54
1256	56
1257	55
1258	56
1259	54
1260	54
1261	54
1262	52
1263	54
1264	55
1265	55
1266	55
1267	55
1268	56
1269	55
1270	55
1271	55
1272	52
1273	54
1274	52
1275	55
1276	55
1277	54
1278	55
1279	55
1280	55
1281	55
1282	55
1283	54
1284	53
1285	53
1286	54
1287	55
1288	54
1289	55
1290	56
1291	55
1292	56
1293	54
1294	52
1295	54
1296	55
1297	55
1298	54
1299	54
1300	55
1301	55
1302	56
1303	54
1304	53
1305	54
1306	57
1307	54
1308	52
1309	53
1310	52
1311	53
1312	54
1313	54
1314	55
1315	55
1316	54
1317	54
1318	54
1319	55
1320	55
1321	55
1322	56
1323	56
1324	57
1325	54
1326	52
1327	54
1328	55
1329	55
1330	55
1331	56
1332	55
1333	55
1334	53
1335	54
1336	53
1337	54
1338	53
1339	55
1340	56
1341	55
1342	56
1343	55
1344	55
1345	55
1346	56
1347	55
1348	51
1349	54
1350	55
1351	54
1352	54
1353	55
1354	53
1355	53
1356	54
1357	54
1358	55
1359	56
1360	56
1361	54
1362	53
1363	53
1364	51
1365	54
1366	54
1367	54
1368	56
1369	55
1370	55
1371	54
1372	54
1373	53
1374	53
1375	54
1376	54
1377	54
1378	53
1379	54
1380	55
1381	55
1382	54
1383	53
1384	54
1385	54
1386	55
1387	54
1388	54
1389	54
1390	52
1391	53
1392	54
1393	54
1394	54
1395	54
1396	55
1397	55
1398	54
1399	55
1400	56
1401	55
1402	54
1403	54
1404	51
1405	53
1406	54
1407	54
1408	54
1409	55
1410	54
1411	55
1412	53
1413	54
1414	54
1415	53
1416	55
1417	55
1418	55
1419	55
1420	55
1421	54
1422	53
1423	53
1424	54
1425	54
1426	53
1427	53
1428	53
1429	54
1430	54
1431	53
1432	53
1433	53
1434	52
1435	52
1436	52
1437	54
1438	55
1439	54
